time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-07-08 00:00:00+00:00,10,5,25,4
2022-07-09 00:00:00+00:00,28,6,27,7
2022-07-10 00:00:00+00:00,17,4,19,7
2022-07-11 00:00:00+00:00,19,5,14,7
2022-07-12 00:00:00+00:00,18,7,2,2
2022-07-13 00:00:00+00:00,17,6,11,4
2022-07-14 00:00:00+00:00,10,4,34,7
2022-07-15 00:00:00+00:00,14,7,45,6
2022-07-16 00:00:00+00:00,20,6,19,2
2022-07-17 00:00:00+00:00,16,7,68,10
2022-07-18 00:00:00+00:00,10,6,156,3
2022-07-19 00:00:00+00:00,14,6,74,6
2022-07-20 00:00:00+00:00,6,4,19,2
2022-07-21 00:00:00+00:00,25,15,106,7
2022-07-22 00:00:00+00:00,40,31,60,5
2022-07-23 00:00:00+00:00,71,29,15,4
2022-07-24 00:00:00+00:00,47,25,10,4
2022-07-25 00:00:00+00:00,41,26,1,1
2022-07-26 00:00:00+00:00,42,25,1,1
2022-07-27 00:00:00+00:00,44,27,12,5
2022-07-28 00:00:00+00:00,38,25,9,4
2022-07-29 00:00:00+00:00,47,25,8,3
2022-07-30 00:00:00+00:00,57,26,4,3
2022-07-31 00:00:00+00:00,40,26,5,4
2022-08-01 00:00:00+00:00,32,26,1,1
2022-08-02 00:00:00+00:00,24,22,2,2
2022-08-03 00:00:00+00:00,30,23,5,1
2022-08-04 00:00:00+00:00,24,23,19,4
2022-08-05 00:00:00+00:00,23,22,10,4
2022-08-06 00:00:00+00:00,27,23,15,2
2022-08-07 00:00:00+00:00,32,24,10,3
2022-08-08 00:00:00+00:00,24,23,18,1
2022-08-09 00:00:00+00:00,31,25,48,7
2022-08-10 00:00:00+00:00,24,23,1,1
2022-08-11 00:00:00+00:00,37,23,2,2
2022-08-12 00:00:00+00:00,40,28,63,5
2022-08-13 00:00:00+00:00,31,24,2,1
2022-08-14 00:00:00+00:00,41,24,1,1
2022-08-15 00:00:00+00:00,32,22,15,3
2022-08-16 00:00:00+00:00,29,22,3,2
2022-08-17 00:00:00+00:00,22,22,3,2
2022-08-18 00:00:00+00:00,29,22,8,2
2022-08-19 00:00:00+00:00,25,23,11,2
2022-08-20 00:00:00+00:00,30,23,5,3
2022-08-21 00:00:00+00:00,32,23,8,4
2022-08-22 00:00:00+00:00,27,22,1,1
2022-08-23 00:00:00+00:00,24,22,12,3
2022-08-24 00:00:00+00:00,28,22,5,3
2022-08-25 00:00:00+00:00,28,26,6,6
2022-08-26 00:00:00+00:00,23,22,6,3
2022-08-27 00:00:00+00:00,21,21,2,1
2022-08-28 00:00:00+00:00,25,22,7,4
2022-08-29 00:00:00+00:00,32,21,3,1
2022-08-30 00:00:00+00:00,30,24,1,1
2022-08-31 00:00:00+00:00,28,22,3,3
2022-09-01 00:00:00+00:00,26,22,10,2
2022-09-02 00:00:00+00:00,24,21,3,2
2022-09-03 00:00:00+00:00,29,23,2,2
2022-09-04 00:00:00+00:00,29,22,5,3
2022-09-05 00:00:00+00:00,27,21,10,4
2022-09-06 00:00:00+00:00,19,18,2,2
2022-09-07 00:00:00+00:00,18,17,13,3
2022-09-08 00:00:00+00:00,24,18,3,2
2022-09-09 00:00:00+00:00,21,21,6,3
2022-09-10 00:00:00+00:00,27,22,2,1
2022-09-11 00:00:00+00:00,33,23,61,5
2022-09-12 00:00:00+00:00,51,24,140,4
2022-09-13 00:00:00+00:00,25,23,2,2
2022-09-14 00:00:00+00:00,22,21,14,7
2022-09-15 00:00:00+00:00,28,23,10,2
2022-09-16 00:00:00+00:00,32,24,8,4
2022-09-17 00:00:00+00:00,33,23,2,2
2022-09-18 00:00:00+00:00,33,23,4,2
2022-09-19 00:00:00+00:00,23,21,16,5
2022-09-20 00:00:00+00:00,20,20,9,7
2022-09-21 00:00:00+00:00,26,21,1,1
2022-09-22 00:00:00+00:00,25,21,1,1
2022-09-23 00:00:00+00:00,27,21,14,4
2022-09-24 00:00:00+00:00,29,23,13,2
2022-09-25 00:00:00+00:00,31,22,16,3
2022-09-26 00:00:00+00:00,24,22,3,2
2022-09-27 00:00:00+00:00,24,21,4,3
2022-09-28 00:00:00+00:00,25,23,8,4
2022-09-29 00:00:00+00:00,29,22,2,1
2022-09-30 00:00:00+00:00,26,20,5,2
2022-10-01 00:00:00+00:00,35,21,5,3
2022-10-02 00:00:00+00:00,31,22,4,4
2022-10-03 00:00:00+00:00,29,22,16,5
2022-10-04 00:00:00+00:00,24,22,15,4
2022-10-05 00:00:00+00:00,28,21,23,5
2022-10-06 00:00:00+00:00,30,21,31,7
2022-10-07 00:00:00+00:00,25,22,1,1
2022-10-08 00:00:00+00:00,34,23,41,4
2022-10-09 00:00:00+00:00,33,23,3,1
2022-10-10 00:00:00+00:00,29,24,9,5
2022-10-11 00:00:00+00:00,23,20,11,4
2022-10-12 00:00:00+00:00,25,21,7,5
2022-10-13 00:00:00+00:00,29,24,5,4
2022-10-14 00:00:00+00:00,32,21,10,3
2022-10-15 00:00:00+00:00,29,22,5,4
2022-10-16 00:00:00+00:00,33,24,20,8
2022-10-17 00:00:00+00:00,23,20,26,10
2022-10-18 00:00:00+00:00,29,21,7,4
2022-10-19 00:00:00+00:00,25,20,1,1
2022-10-20 00:00:00+00:00,27,21,0,0
2022-10-21 00:00:00+00:00,26,22,3,3
2022-10-22 00:00:00+00:00,29,23,6,5
2022-10-23 00:00:00+00:00,27,22,7,5
2022-10-24 00:00:00+00:00,24,20,2,2
2022-10-25 00:00:00+00:00,25,22,2,2
2022-10-26 00:00:00+00:00,32,27,5,3
2022-10-27 00:00:00+00:00,28,25,5,3
2022-10-28 00:00:00+00:00,28,24,5,3
2022-10-29 00:00:00+00:00,32,24,9,6
2022-10-30 00:00:00+00:00,26,22,13,5
2022-10-31 00:00:00+00:00,28,26,9,5
2022-11-01 00:00:00+00:00,28,23,0,0
2022-11-02 00:00:00+00:00,30,23,3,2
2022-11-03 00:00:00+00:00,27,25,3,3
2022-11-04 00:00:00+00:00,27,24,7,4
2022-11-05 00:00:00+00:00,30,24,3,3
2022-11-06 00:00:00+00:00,34,23,1,1
2022-11-07 00:00:00+00:00,27,23,14,4
2022-11-08 00:00:00+00:00,37,26,8,7
2022-11-09 00:00:00+00:00,29,26,3,1
2022-11-10 00:00:00+00:00,36,26,2,2
2022-11-11 00:00:00+00:00,35,26,26,4
2022-11-12 00:00:00+00:00,34,23,5,3
2022-11-13 00:00:00+00:00,30,23,7,7
2022-11-14 00:00:00+00:00,32,27,5,4
2022-11-15 00:00:00+00:00,30,25,79,4
2022-11-16 00:00:00+00:00,31,24,6,4
2022-11-17 00:00:00+00:00,30,23,6,3
2022-11-18 00:00:00+00:00,31,25,111,3
2022-11-19 00:00:00+00:00,29,23,8,2
2022-11-20 00:00:00+00:00,29,23,18,3
2022-11-21 00:00:00+00:00,31,24,1,1
2022-11-22 00:00:00+00:00,29,23,15,7
2022-11-23 00:00:00+00:00,29,23,3,3
2022-11-24 00:00:00+00:00,31,24,3,2
2022-11-25 00:00:00+00:00,32,24,5,4
2022-11-26 00:00:00+00:00,38,24,18,6
2022-11-27 00:00:00+00:00,37,27,51,7
2022-11-28 00:00:00+00:00,29,23,4,3
2022-11-29 00:00:00+00:00,33,24,8,4
2022-11-30 00:00:00+00:00,30,25,19,10
2022-12-01 00:00:00+00:00,30,24,6,3
2022-12-02 00:00:00+00:00,32,26,8,2
2022-12-03 00:00:00+00:00,33,24,7,2
2022-12-04 00:00:00+00:00,33,24,14,5
2022-12-05 00:00:00+00:00,43,29,8,3
2022-12-06 00:00:00+00:00,36,26,17,3
2022-12-07 00:00:00+00:00,35,27,2,2
2022-12-08 00:00:00+00:00,29,25,11,5
2022-12-09 00:00:00+00:00,37,27,11,1
2022-12-10 00:00:00+00:00,35,25,19,5
2022-12-11 00:00:00+00:00,39,26,21,6
2022-12-12 00:00:00+00:00,34,28,7,3
2022-12-13 00:00:00+00:00,30,24,21,10
2022-12-14 00:00:00+00:00,30,24,12,3
2022-12-15 00:00:00+00:00,31,24,7,4
2022-12-16 00:00:00+00:00,38,28,8,3
2022-12-17 00:00:00+00:00,44,24,1,1
2022-12-18 00:00:00+00:00,36,24,12,6
2022-12-19 00:00:00+00:00,34,24,7,3
2022-12-20 00:00:00+00:00,37,25,4,4
2022-12-21 00:00:00+00:00,36,25,5,3
2022-12-22 00:00:00+00:00,33,23,1,1
2022-12-23 00:00:00+00:00,30,24,5,4
2022-12-24 00:00:00+00:00,43,27,15,7
2022-12-25 00:00:00+00:00,41,24,8,5
2022-12-26 00:00:00+00:00,36,25,2,2
2022-12-27 00:00:00+00:00,34,23,5,1
2022-12-28 00:00:00+00:00,36,28,23,5
2022-12-29 00:00:00+00:00,29,22,2,1
2022-12-30 00:00:00+00:00,30,23,6,4
2022-12-31 00:00:00+00:00,38,24,5,4
2023-01-01 00:00:00+00:00,40,26,3,2
2023-01-02 00:00:00+00:00,33,23,20,5
2023-01-03 00:00:00+00:00,40,29,16,11
2023-01-04 00:00:00+00:00,33,27,26,6
2023-01-05 00:00:00+00:00,30,26,13,7
2023-01-06 00:00:00+00:00,28,26,6,4
2023-01-07 00:00:00+00:00,30,25,13,6
2023-01-08 00:00:00+00:00,30,24,10,4
2023-01-09 00:00:00+00:00,31,25,15,7
2023-01-10 00:00:00+00:00,31,25,4,4
2023-01-11 00:00:00+00:00,28,25,10,4
2023-01-12 00:00:00+00:00,28,26,15,5
2023-01-13 00:00:00+00:00,30,25,14,4
2023-01-14 00:00:00+00:00,28,23,8,5
2023-01-15 00:00:00+00:00,33,26,7,3
2023-01-16 00:00:00+00:00,33,28,3,2
2023-01-17 00:00:00+00:00,30,27,13,6
2023-01-18 00:00:00+00:00,24,22,9,7
2023-01-19 00:00:00+00:00,23,23,23,8
2023-01-20 00:00:00+00:00,24,23,9,4
2023-01-21 00:00:00+00:00,25,23,2,2
2023-01-22 00:00:00+00:00,26,24,18,6
2023-01-23 00:00:00+00:00,651,25,4,3
2023-01-24 00:00:00+00:00,49,24,22,3
2023-01-25 00:00:00+00:00,51,25,12,9
2023-01-26 00:00:00+00:00,50,26,5,3
2023-01-27 00:00:00+00:00,49,23,7,4
2023-01-28 00:00:00+00:00,54,27,1,1
2023-01-29 00:00:00+00:00,52,28,13,4
2023-01-30 00:00:00+00:00,49,26,6,4
2023-01-31 00:00:00+00:00,48,25,8,4
2023-02-01 00:00:00+00:00,43,25,16,6
2023-02-02 00:00:00+00:00,52,25,9,3
2023-02-03 00:00:00+00:00,48,25,23,8
2023-02-04 00:00:00+00:00,39,23,5,3
2023-02-05 00:00:00+00:00,41,26,4,4
